date,offense,offense_group,method,shift,district,ward,count
2017-03-17,HOMICIDE,violent,gun,midnight,6.0,7.0,1
2019-03-21,THEFT/OTHER,property,others,evening,6.0,7.0,1
2020-07-04,THEFT F/AUTO,property,others,midnight,3.0,5.0,1
2021-04-04,SEX ABUSE,violent,others,evening,2.0,2.0,1
2021-06-24,THEFT/OTHER,property,others,day,2.0,3.0,1
2021-07-10,SEX ABUSE,violent,others,evening,6.0,7.0,1
2021-08-16,HOMICIDE,violent,others,midnight,5.0,5.0,1
2021-08-30,THEFT/OTHER,property,others,day,3.0,2.0,1
2021-10-12,THEFT/OTHER,property,others,midnight,3.0,2.0,1
2021-12-31,MOTOR VEHICLE THEFT,property,others,day,2.0,2.0,1
2022-01-01,THEFT/OTHER,property,others,midnight,3.0,1.0,1
2022-01-03,THEFT F/AUTO,property,others,evening,2.0,3.0,1
2022-01-29,HOMICIDE,violent,others,midnight,6.0,7.0,1
2022-02-01,THEFT/OTHER,property,others,evening,6.0,7.0,1
2022-03-17,SEX ABUSE,violent,others,midnight,1.0,6.0,1
2022-03-22,MOTOR VEHICLE THEFT,property,others,evening,4.0,4.0,1
2022-04-29,THEFT/OTHER,property,others,day,3.0,1.0,1
2022-05-01,THEFT/OTHER,property,others,day,3.0,2.0,1
2022-05-01,THEFT/OTHER,property,others,evening,3.0,1.0,1
2022-05-31,SEX ABUSE,violent,others,evening,1.0,6.0,1
2022-06-06,THEFT F/AUTO,property,others,day,5.0,5.0,1
2022-06-16,THEFT/OTHER,property,others,day,4.0,4.0,1
2022-06-18,THEFT F/AUTO,property,others,day,4.0,4.0,1
2022-06-19,THEFT F/AUTO,property,others,evening,3.0,1.0,1
2022-06-20,THEFT/OTHER,property,others,evening,2.0,2.0,1
2022-06-26,THEFT/OTHER,property,others,evening,4.0,5.0,1
2022-06-27,THEFT/OTHER,property,others,day,3.0,1.0,1
2022-07-01,SEX ABUSE,violent,others,evening,4.0,4.0,1
2022-07-03,SEX ABUSE,violent,others,evening,2.0,2.0,1
2022-07-11,THEFT/OTHER,property,others,day,2.0,3.0,1
2022-07-16,THEFT/OTHER,property,others,evening,7.0,8.0,1
2022-07-22,THEFT/OTHER,property,others,midnight,1.0,6.0,1
2022-08-07,BURGLARY,property,others,day,5.0,5.0,1
2022-08-22,THEFT/OTHER,property,others,day,3.0,1.0,1
2022-08-25,THEFT F/AUTO,property,others,evening,3.0,1.0,1
2022-08-27,SEX ABUSE,violent,others,day,3.0,5.0,1
2022-08-27,THEFT/OTHER,property,others,evening,2.0,2.0,1
2022-08-29,THEFT/OTHER,property,others,day,2.0,3.0,1
2022-09-02,THEFT/OTHER,property,others,evening,4.0,4.0,1
2022-09-05,MOTOR VEHICLE THEFT,property,others,day,5.0,5.0,1
2022-09-07,THEFT/OTHER,property,others,day,3.0,2.0,1
2022-09-09,THEFT/OTHER,property,others,day,6.0,7.0,1
2022-09-16,THEFT/OTHER,property,others,day,4.0,5.0,1
2022-09-19,HOMICIDE,violent,others,midnight,5.0,5.0,1
2022-09-19,THEFT/OTHER,property,others,day,4.0,4.0,1
2022-09-22,THEFT/OTHER,property,others,evening,6.0,7.0,1
2022-09-25,THEFT/OTHER,property,others,evening,5.0,6.0,1
2022-10-02,THEFT/OTHER,property,others,day,3.0,1.0,1
2022-10-07,HOMICIDE,violent,others,midnight,2.0,3.0,1
2022-10-08,THEFT F/AUTO,property,others,day,7.0,8.0,1
2022-10-14,HOMICIDE,violent,others,midnight,1.0,6.0,1
2022-10-14,THEFT/OTHER,property,others,day,2.0,2.0,1
2022-10-17,THEFT/OTHER,property,others,evening,5.0,5.0,1
2022-10-25,THEFT/OTHER,property,others,evening,5.0,5.0,1
2022-10-30,HOMICIDE,violent,others,midnight,3.0,1.0,1
2022-10-31,THEFT/OTHER,property,others,evening,4.0,4.0,1
2022-11-01,THEFT/OTHER,property,others,day,3.0,1.0,1
2022-11-03,THEFT/OTHER,property,others,day,5.0,6.0,1
2022-11-05,THEFT/OTHER,property,others,evening,6.0,7.0,1
2022-11-06,THEFT/OTHER,property,others,day,5.0,6.0,1
2022-11-07,THEFT/OTHER,property,others,day,3.0,1.0,1
2022-11-07,THEFT/OTHER,property,others,day,4.0,1.0,1
2022-11-11,THEFT/OTHER,property,others,day,2.0,2.0,1
