psa,offense_group,offense_text,shift,method,district,ward,year,month,day_of_week,latitude,longitude
704.0,violent,HOMICIDE,midnight,gun,7.0,8.0,2023,2.0,Thursday,38.8506559459,-76.9765909045
405.0,violent,ASSAULT W/DANGEROUS WEAPON,day,others,4.0,5.0,2023,6.0,Friday,38.934972488,-76.9935749549
104.0,property,THEFT/OTHER,midnight,others,1.0,6.0,2023,4.0,Wednesday,38.900195113,-76.9908927027
303.0,property,THEFT/OTHER,evening,others,3.0,1.0,2023,8.0,Sunday,38.9172612211,-77.0408237172
207.0,property,THEFT/OTHER,evening,others,2.0,2.0,2023,5.0,Saturday,38.9051969682,-77.0408588935
305.0,violent,ROBBERY,midnight,gun,3.0,1.0,2023,1.0,Sunday,38.9162809962,-77.0280890891
301.0,property,THEFT/OTHER,midnight,others,3.0,2.0,2023,3.0,Thursday,38.9129719746,-77.0384881078
101.0,property,MOTOR VEHICLE THEFT,evening,others,1.0,6.0,2023,5.0,Monday,38.9031220639,-77.0161747625
602.0,property,THEFT/OTHER,evening,others,6.0,7.0,2023,5.0,Friday,38.8966524619,-76.94765293
406.0,property,THEFT/OTHER,midnight,others,4.0,5.0,2023,2.0,Friday,38.9534165771,-77.0014882513
602.0,property,THEFT/OTHER,day,others,6.0,7.0,2023,8.0,Tuesday,38.9041486521,-76.9337572207
206.0,property,THEFT/OTHER,evening,others,2.0,2.0,2023,10.0,Tuesday,38.9051766277,-77.0628114736
305.0,property,THEFT F/AUTO,day,others,3.0,1.0,2023,1.0,Thursday,38.9169927779,-77.0275704771
402.0,violent,ROBBERY,day,gun,4.0,4.0,2023,3.0,Thursday,38.9629631862,-77.0224536822
209.0,property,THEFT F/AUTO,midnight,others,2.0,2.0,2023,2.0,Monday,38.9008594129,-77.0249934235
302.0,property,THEFT/OTHER,day,others,3.0,1.0,2023,4.0,Thursday,38.9303401818,-77.0380015594
603.0,property,MOTOR VEHICLE THEFT,evening,others,6.0,7.0,2023,7.0,Sunday,38.888412303,-76.9502853636
308.0,property,THEFT/OTHER,day,others,3.0,2.0,2023,4.0,Sunday,38.9135624135,-77.0183563731
202.0,property,THEFT/OTHER,day,others,2.0,3.0,2023,7.0,Thursday,38.9483570552,-77.0799373128
502.0,property,MOTOR VEHICLE THEFT,day,others,5.0,5.0,2023,8.0,Friday,38.9257594339,-77.0041492268
502.0,property,THEFT F/AUTO,evening,others,5.0,5.0,2023,8.0,Tuesday,38.9111150641,-77.0035739508
104.0,property,THEFT/OTHER,midnight,others,1.0,6.0,2023,8.0,Friday,38.8973348558,-77.0013047121
301.0,property,MOTOR VEHICLE THEFT,midnight,others,3.0,1.0,2023,2.0,Friday,38.9197387988,-77.0333948878
407.0,property,MOTOR VEHICLE THEFT,midnight,others,4.0,4.0,2023,3.0,Wednesday,38.9502605241,-77.0272141818
401.0,property,THEFT/OTHER,day,others,4.0,4.0,2023,6.0,Friday,38.974837325,-77.0143330525
107.0,property,MOTOR VEHICLE THEFT,evening,others,1.0,7.0,2023,6.0,Friday,38.8833207415,-76.9781361301
302.0,property,THEFT/OTHER,day,others,3.0,1.0,2023,6.0,Wednesday,38.9303401818,-77.0380015594
202.0,property,THEFT/OTHER,day,others,2.0,3.0,2023,6.0,Sunday,38.949245201,-77.0803031975
703.0,violent,ROBBERY,day,knife,7.0,8.0,2023,6.0,Tuesday,38.8622790504,-76.9948841876
303.0,property,THEFT/OTHER,day,others,3.0,1.0,2023,1.0,Monday,38.9172591466,-77.0408312112
505.0,property,THEFT/OTHER,day,others,5.0,5.0,2023,5.0,Wednesday,38.9215811022,-76.9937613603
503.0,property,MOTOR VEHICLE THEFT,evening,others,5.0,5.0,2023,6.0,Wednesday,38.9350726407,-76.9731722328
101.0,property,THEFT F/AUTO,evening,others,1.0,6.0,2023,3.0,Thursday,38.9037254238,-77.0175583548
106.0,property,THEFT/OTHER,evening,others,1.0,8.0,2023,7.0,Monday,38.8756836711,-77.0005531647
307.0,property,THEFT/OTHER,evening,others,3.0,2.0,2023,3.0,Sunday,38.9049039473,-77.0259863335
406.0,property,MOTOR VEHICLE THEFT,evening,others,4.0,5.0,2023,5.0,Sunday,38.9525427805,-76.9990424547
505.0,property,THEFT/OTHER,evening,others,5.0,5.0,2023,9.0,Monday,38.9201570109,-76.9903059701
307.0,property,THEFT F/AUTO,evening,others,3.0,2.0,2023,6.0,Sunday,38.9056415243,-77.0305636569
501.0,property,MOTOR VEHICLE THEFT,evening,others,5.0,6.0,2023,1.0,Tuesday,38.9060417408,-77.0058914055
208.0,property,THEFT/OTHER,day,others,2.0,2.0,2023,5.0,Friday,38.9060518253,-77.0434534469
604.0,property,MOTOR VEHICLE THEFT,day,others,6.0,7.0,2023,5.0,Saturday,38.888582737,-76.9191657108
503.0,property,THEFT F/AUTO,evening,others,5.0,5.0,2023,2.0,Sunday,38.9221497446,-76.9566059346
